Antigua				{Антигуа}
PortRoyal Town 		{Порт-Ройал}
PortRoyal Fort 		{форт Порт-Ройал}
PortRoyal Port 		{порт Порт-Ройал}

FortOrange 			{Форт Оранж}
FortOrange Town 	{Форт Оранж}

Villemstad 			{Виллемстад}
Villemstad Town 	{Виллемстад}
Villemstad Fort 	{форт Виллемстада}
Villemstad Port 	{порт Виллемстада}

BasTer 				{Бас-Тер}
BasTer Town 		{Бас-Тер}
BasTer Fort 		{форт Бас-Тер}
BasTer Port 		{порт Бас-Тер}

LaVega 				{Ла Вега}
LaVega Town 		{Ла Вега}
LaVega Fort 		{форт Ла Веги}
LaVega Port 		{порт Ла Веги}

SantoDomingo 		{Санто-Доминго}
SantoDomingo Town 	{Санто-Доминго}
SantoDomingo Fort 	{форт Санто-Доминго}
SantoDomingo Port 	{порт Санто-Доминго}

PortPax 			{Порт-о-Принс}
PortPax Town 		{Порт-о-Принс}
PortPax Fort 		{форт Порт-о-Принс}
PortPax Port 		{порт Порт-о-Принс}

Pirates				{Скаллшорз}
Pirates Town 		{Скаллшорз}
Pirates Port 		{порт Скаллшорз}

FortFrance 			{Фор-де-Франс}
FortFrance Town 	{Фор-де-Франс}
FortFrance Fort 	{форт Фор-де-Франс}
FortFrance Port 	{порт Фор-де-Франс}

LeFransua 			{Ле Франсуа}
LeFransua Town 		{Ле Франсуа}
LeFransua Port 		{порт Ле Франсуа}

Havana				{Гавана}
Havana Town 		{Гавана}
Havana Fort 		{форт Гаваны}
Havana Port 		{порт Гаваны}

Charles				{Чарлстаун}
Charles Town 		{Чарлстаун}
Charles Fort 		{форт Чарлстауна}
Charles Port 		{порт Чарлстауна}

PortoBello Town 	{Портобело}
PortoBello Fort 	{форт Портобело}
PortoBello Port 	{порт Портобело}

PortSpein 			{Порт-оф-Спейн}
PortSpein Town 		{Порт-оф-Спейн}
PortSpein Fort 		{форт Порт-оф-Спейна}
PortSpein Port 		{порт Порт-оф-Спейна}

Tortuga Town 		{Тортуга}
Tortuga Fort 		{форт Тортуги}
Tortuga Port 		{порт Тортуги}

Marigo 				{Мариго}
Marigo Town 		{Мариго}
Marigo Fort 		{форт Мариго}
Marigo Port 		{порт Мариго}

Panama Town 		{Панама}
Panama Fort 		{форт Панамы}
Panama Port 		{порт Панамы}

Cartahena Town 		{Картахена}
Cartahena Fort 		{форт Картахены}
Cartahena Port 		{порт Картахены}

Maracaibo Town 		{Маракайбо}
Maracaibo Fort 		{форт Маракайбо}
Maracaibo Port 		{порт Маракайбо}

Caracas Town 		{Каракас}
Caracas Fort 		{форт Каракаса}
Caracas Port 		{порт Каракаса}

Cumana Town 		{Кумана}
Cumana Fort 		{форт Куманы}
Cumana Port 		{порт Куманы}

SantaCatalina Town 	{Санта-Каталина}
SantaCatalina Fort 	{форт Санта-Каталины}
SantaCatalina Port 	{порт Санта-Каталины}

Beliz Town 			{Белиз}
Beliz Fort 			{форт Белиза}
Beliz Port 			{порт Белиза}

Providencia 		{Провиденсия}
Providencia Town 	{Провиденсия}
Providencia Fort 	{форт Провиденсии}
Providencia Port 	{порт Провиденсии}

Philipsburg 		{Филипсбург}
Philipsburg Town 	{Филипсбург}
Philipsburg Fort 	{форт Филипсбурга}
Philipsburg Port 	{порт Филипсбурга}

Fort inside 		{Форт}
Sea 				{Море}
Jungle 				{Джунгли}
Street 				{Улицы}
Port 				{Порт}
Tavern 				{Таверна}
BlueLion 			{Таверна 'Синий Лев'}
Tavern upstairs 	{Комната в таверне}
Store 				{Магазин}
Shipyard			{Верфь}
Packhouse			{Пакгауз}
PackhouseOffice 	{Офис}
Warehouse			{Склад}
Townhall 			{Резиденция}
Residence 			{Резиденция}
TownhallRoom 		{Комната в резиденции}
PortOffice 			{Портовое управление}
Church 				{Церковь}
Doctor				{Дом доктора}
Farmacia 			{Аптека}
Usurer House 		{Банк}
Bankvault 			{Хранилище}
Brothel 			{Бордель}
Brothel Room 		{Комната уединения}
Prison 				{Тюрьма}
Incquisitio 		{Инквизиция}
Malta_Dungeon 		{Мальтийский орден}
GWIKshort 			{Штаб-квартира ГВИК}
House 				{Дом}
ammo 				{Оружейная}
Room 				{Комната}
Cabinet 			{Кабинет}
Bedroom 			{Спальня}
Graveyard 			{Кладбище}
Chapel 				{Часовня}
Crypt 				{Склеп}
Crypt dungeon 		{Подземелье склепа}
Exit 				{Выход}
ExitTown 			{Выход в джунгли}
Gate 				{Городские ворота}
Duel Field			{Дуэльное поле}
The cavern 			{Пещера}
Passage 			{Подвесной мост}
Beach 				{Пляж}
Cave 				{Пещера}
Cave entrance 		{Вход в пещеру}
Grot 				{Грот}
Grotto				{Грот}
Mines 				{Шахты}
Dungeon 			{Подземелье}
Village 			{Деревня}
Plantation 			{Плантация}
Minentown	 		{Рудник}
Commandant			{Комендатура}
UnderWater 			{Под водой}
KeepersHouse 		{Дом смотрителя}
Lighthouse Inside 	{Башня маяка}
GoToPlantation 		{Проход к плантации}

MinentownOL 		{Рудник Оранье-Лавас}
MineTown_residence 	{Комендатура}

Reefs				{Северные рифы}

My_Ship				{Корабль}
cabine				{Каюта}
My_Campus			{Кают-компания}
My_Deck_Medium		{Пушечная палуба}
My_Deck				{Трюм}
My_Orlop			{Кубрик}
Boarding deck 		{Верхняя палуба}
Orlop deck 			{Нижняя палуба}


Morgan's House 		{Резиденция Моргана}
Morris's House 		{Дом Джона Морриса}
Aaron's House 		{Дом Аарона Мендеса Чумакейро}
Comendant's House 	{Дом коменданта Гаваны}
DEstre House 		{Дом Анри д'Эстре}
InesHouse 			{Дом Инес де Лас Сьеррас}
Olone House 		{Дом Франсуа Олоне}
Ascold House 		{Дом Аскольда}
Isabella's House 	{Дом Изабеллы}
Rosita's House 		{Дом Роситы Фернандес}
Loy_House 			{Дом Эдварда Лоу}
Orry_House 			{Дом Орри Брюса}
MK_House 			{Дом Мастера Ключей}
Granie_house 		{Дом Гранье}
Fushe_House 		{Дом Фуше}
House Hoarder 		{Дом Барахольщика}
Sheppard_House 		{Дом Элиз Шеппард}

LostShipsCity 		{Остров Справедливости}
LostShipsCity Town 	{Локо-Риферте}
LSC South 			{Юг}
LSC North 			{Север}
LSC Town 			{Улицы}
RingLostShipsCity Town {Внешний Круг}

Ava Cabin 					{Галеон 'Эва'}
Caroline cabin 				{Фрегат 'Каролина'}
CeresSmithy cabin 			{Флейт 'Церес Смити'}
EsmeraldaStoreBig cabin 	{Галеон 'Эсмеральда'}
FenixPlatform cabin 		{Платформа 'Феникс'}
FernandaDiffIndoor cabin 	{Флейт 'Фернандо Диффиндур'}
FleuronTavern cabin 		{Каравелла 'Флерон'}
FurieShipInside2 cabin 		{Пинас 'Фурия'}
GloriaChurch cabin 			{Галеон 'Глория'}
PlutoStoreSmall cabin 		{Флейт 'Плуто'}
ProtectorFisher cabin 		{Корвет 'Протектор'}
SanAugustineResidence cabin {Варшип 'Сан Августин'}
SanGabrielMechanic cabin 	{Барк 'Сан Габриэль'}
SantaFlorentinaShipInside4 cabin {Бриг 'Санта Флорентина'}
TartarusPrison cabin 		{Баттлшип 'Тартарус'}
VelascoShipInside1 cabin 	{Галеон 'Веласко'}
MelpomeneShipInside5 cabin 	{Фрегат 'Мельпомена'}
Boarding_deck_SantaLucia 	{Верхняя палуба Санта Люсии}
cabine_SantaLucia			{Каюта Санта Люсии}
My_Deck_SantaLucia 			{Трюм Санта Люсии}


Incas Temple 				{Храм инков}
Tenochtitlan 				{Теночтитлан}
Xochiquetzal 				{Храм Шочикецаль}
Mictlantecuhtli 			{Храм Миктлантекутли}
Quetzalcoatl 				{Храм Кецалькоатль}
Mixcoatl 					{Храм Мишкоатль}
Tezcatlipoca 				{Храм Тескатлипока}
Chalchiuhtlicue 			{Храм Чалчиуитликуэ}
Huitzilopochtli 			{Храм Уицилопочтли}
Tlaloc 						{Храм Тлалок}
Mayahuel 					{Храм Майяуэль}
Tonacatecuhtli 				{Храм Тонакатекутли}
TempleGreatInside 			{Храм Великой Жизненной Силы}
TempleRoundInside 			{Храм Белых Богов}
TempleSecondInside 			{Жертвенный храм}
TempleUnderwater 			{Подводный лабиринт}
