Antigua 			{Antigua}
Orry_House 			{Orry Bruce's House}
MK_House 			{Keymaster's house}
Granie_house 		{Granier's house}
Fushe_House 		{Fouche's house}
House Hoarder 		{The Hoarder's House}
Sheppard_House 		{Elise Sheppard House}

LostShipsCity 		{Justice Island}
LostShipsCity Town 	{Loco-Riferte}
LSC South 			{South}
LSC North 			{North}
LSC Town 			{Streets}
RingLostShipsCity Town {Outer Circle}

Ava Cabin 					{Galleon 'Eva'}
Caroline cabin 				{Frigate 'Carolina'}
CeresSmithy cabin 			{Fleut 'Ceres Smithy'}
EsmeraldaStoreBig cabin 	{Galleon 'Esmeralda'}
FenixPlatform cabin 		{Platform of 'Phoenix'}
FernandaDiffIndoor cabin 	{Fleut 'Fernanda Diffindur'}
FleuronTavern cabin 		{Caravel 'Fleron'}
FurieShipInside2 cabin 		{Pinnace 'Fury'}
GloriaChurch cabin 			{Galleon 'Gloria'}
PlutoStoreSmall cabin 		{Fleut 'Pluto'}
ProtectorFisher cabin 		{Corvette 'Protector'}
SanAugustineResidence cabin {Warship 'San Augustine'}
SanGabrielMechanic cabin 	{Barque 'San Gabriel'}
SantaFlorentinaShipInside4 cabin {Brig 'Santa Florentina'}
TartarusPrison cabin 		{Battleship 'Tartarus'}
VelascoShipInside1 cabin 	{Galleon 'Velasco'}
MelpomeneShipInside5 cabin	{Frigate 'Melpomene'}
Boarding_deck_SantaLucia 	{Upper deck of 'Santa Lucia'}
cabine_SantaLucia			{Cabin of 'Santa Lucia'}
My_Deck_SantaLucia 			{Hold of 'Santa Lucia'}

Incas Temple 				{Inca temple}
Tenochtitlan 				{Tenochtitlan}
Xochiquetzal 				{Xochiquetzal Temple}
Mictlantecuhtli 			{Mictlantecuhtli Temple}
Quetzalcoatl 				{Quetzalcoatl Temple}
Mixcoatl 					{Mixcoatl Temple}
Tezcatlipoca 				{Tezcatlipoca Temple}
Chalchiuhtlicue 			{Chalchiuhtlicue Temple}
Huitzilopochtli 			{Huitzilopochtli Temple}
Tlaloc 						{Tlaloc Temple}
Mayahuel 					{Mayahuel Temple}
Tonacatecuhtli 				{Tonacatecuhtli Temple}
TempleGreatInside 			{Temple of the Great Life Force}
TempleRoundInside 			{Temple of the White Gods}
TempleSecondInside 			{Temple of Sacrifice}
TempleUnderwater 			{Underwater Labyrinth}

