Bridgetown_Hostess_name {Анжела}
Ascold_name {Аскольд}
Isabella_name {Изабелла}
Isabella_lastname {Олеварес}
Tortuga_Hostess_name {Маргарита}
Sharp_name {Бартоломью}
Sharp_lastname {Шарп}
Sharp_ship {Шарпоносец}
Sharp_mapEnc {бриг 'Шарпоносец'}
Blaze_name {Блэйз}
Blaze_lastname {Шарп}
Blaze_ship {Быстрый вепрь}
BerglarSentJons_name {Уэйтн}
BerglarSentJons_lastname {Орэйст}
BerglarFortFrance_name {Вильом}
BerglarFortFrances_lastname {Крапо}
BerglarMarigo_name {Джеф}
BerglarMarigo_lastname {Баардграс}
BerglarPanama_name {Пеле}
BerglarPanama_lastname {Вердже}
BerglarCartahena_name {Баррило}
BerglarCartahena_lastname {Джовем}
BerglarSantaCatalina_name {Дженере}
BerglarSantaCatalina_lastname {Джардино}
QuetionsVillemstad_name {Ирма}
QuetionsVillemstad_lastname {Грун}
QuetionsPortPax_name {Лилиана}
QuetionsPortPax_lastname {Лаббе}
PoorKillSponsor_name {Оливер}
PoorKillSponsor_lastname {Траст}
OffMushketer_name {Хемфри}
OffMushketer_lastname {Дуглас}
QuestPirate1_name {Капитан}
QuestPirate1_lastname {Гудли}
DeadmansGod_name {Миктлантекутли}
MaximTailor_name {Максим}
MaximTailor_lastname {Тейлор}
MaryCelesteCapitan_name {Мэри Селест}
EmptyShip_name {Корабль пуст}
EmptyShip_mapEnc {бригантина 'Мэри Селест'}
WheelFortunaShip_ship {Колeсо Фортуны}
Atilla_name {Атилла}
PDM_PJ_Strajnik_1_name {Джори}
PDM_PJ_Strajnik_2_name {Алэр}
Josephine_Lodet2_name {Старушка}
Husband_name {Сальватор}
Husband_lastname {Олеварес}
YokoDias_name {Йоко}
YokoDias_lastname {Диаз}
Angellica_name {Анжелика}
Angellica_lastname {Шарп}
OfMush1_name {Николя}
OfMush1_lastname {Рималье}
OfMush2_name {Магнус}
OfMush2_lastname {фон Коккай}
BlueBirdCapitain_name {Сандро}
BlueBirdCapitain_lastname {Торн}
BlueBirdCapitain_ship {Синяя Птица}
Pirates_trader2_name {Бенджамин}
Pirates_trader2_lastname {Франклин}
Emillio_name {Эмилио}
Emillio_lastname {Гарсиа}
CapGoodly_name {Капитан}
CapGoodly_lastname {Гудли}
Aivory_name {Джон}
Aivory_lastname {Эйвори}
Orry_name {Орри}
Orry_lastname {Брюс}
LeonCapitain_ship {Леон}
LeonCapitain_mapEnc {Фрегат 'Леон'}
QuestCap_PL7_ship {Неуловимый}
QuestCap_PL7_mapEnc {Баттлшип}
JohnMorris_name {Джон}
JohnMorris_lastname {Моррис}
JohnMorris_ship {Лагуна}
MushketCap_name {Альберт}
MushketCap_lastname {Зиверт}
MushketCap_ship {Стрела}
MushketCap_mapEnc {Бригантина 'Стрела'}
GiveKeyMan_name {Хилл}
GiveKeyMan_lastname {Корнер}
LSCMayor_name {Чад}
LSCMayor_lastname {Каппер}
Ment_1_name {Жан}
Ment_1_lastname {Бурди}
Ment_2_name {Левис}
Ment_2_lastname {Громмер}
Ment_3_name {Фрек}
Ment_3_lastname {Херринг}
Ment_4_name {Рауль}
Ment_4_lastname {Круз}
Ment_5_name {Жерар}
Ment_5_lastname {Форэ}
Ment_6_name {Джон}
Ment_6_lastname {Уоркман}
LSCBarmen_name {Хилл}
LSCBarmen_lastname {Брюннер}
LSCwaitress_name {Армо}
LSCwaitress_lastname {Дюлин}
PedroHurtado_name {Педро}
PedroHurtado_lastname {Хуртадо}
ZhilBaru_name {Жиль}
ZhilBaru_lastname {Бару}
TristanBorcher_name {Тристан}
TristanBorcher_lastname {Борчер}
RoyelHaag_name {Ройел}
RoyelHaag_lastname {Хааг}
DominicLegro_name {Доминик}
DominicLegro_lastname {Легро}
JorgeStouks_name {Джорж}
JorgeStouks_lastname {Стоукс}
HenryFolder_name {Генри}
HenryFolder_lastname {Фолдер}
FelixMendoza_name {Феликс}
FelixMendoza_lastname {Мендоза}
RodgerWoyler_name {Роджер}
RodgerWoyler_lastname {Воулер}
AndreLabor_name {Андрэ}
AndreLabor_lastname {Лабор}
StefanKleyn_name {Стефан}
StefanKleyn_lastname {Клейн}
ThomasFlann_name {Томас}
ThomasFlann_lastname {Фланн}
PabloBarades_name {Пабло}
PabloBarades_lastname {Барадес}
LSC_Priest_name {падре}
LSC_Priest_lastname {Анхель}
SandraGomes_name {Сандра}
SandraGomes_lastname {Гомес}
MonikaRight_name {Моника}
MonikaRight_lastname {Райт}
LSC_Trader_name {Эрик}
LSC_Trader_lastname {Йост}
LSC_PrisonerHead_name {Габриэль}
LSC_PrisonerHead_lastname {д'Эксмес}
LSC_Prisoner1_name {Томас}
LSC_Prisoner1_lastname {Бойл}
LSC_Usurer_name {Августо}
LSC_Usurer_lastname {Брамс}
Mechanic_name {Хенрик}
Mechanic_lastname {Ведекер}
ElisTaylor_name {Элис}
ElisTaylor_lastname {Тейлор}
OreliBertin_name {Орели}
OreliBertin_lastname {Бертин}
LeaToors_name {Леа}
LeaToors_lastname {Тоорс}
ElizaCalvo_name {Элиза}
ElizaCalvo_lastname {Кальво}
SesilGalard_name {Сесиль}
SesilGalard_lastname {Галард}
MalcolmFawn_name {Малькольм}
MalcolmFawn_lastname {Фаун}
Narval_head_name {Томас}
Narval_head_lastname {Гринспи}
Narval_1_name {Фриц}
Narval_1_lastname {Холт}
Narval_2_name {Роджер}
Narval_2_lastname {Адин}
Narval_3_name {Ник}
Narval_3_lastname {Нолти}
Narval_4_name {Жери}
Narval_4_lastname {Гразид}
Narval_5_name {Милон}
Narval_5_lastname {Бержи}
Casper_head_name {Каспер}
Casper_head_lastname {Лонгмэн}
Casper_1_name {Денис}
Casper_1_lastname {Хопфер}
Casper_2_name {Фошер}
Casper_2_lastname {Хехт}
Casper_3_name {Серж}
Casper_3_lastname {Шамбон}
Casper_4_name {Фелипе}
Casper_4_lastname {Армас}
Casper_6_name {Хуан}
Casper_6_lastname {Кобо}
Casper_7_name {Тагель}
Casper_7_lastname {Эдо}
Casper_8_name {Зенон}
Casper_8_lastname {Баррио}
Casper_9_name {Мигель}
Casper_9_lastname {Батис}
Casper_10_name {Мартин}
Casper_10_lastname {Камю}
Casper_11_name {Марк}
Casper_11_lastname {Бишоп}
LSCBarmen2_name {Флоренс}
LSCBarmen2_lastname {Слот}
LSCwaitress2_name {Флора}
LSCwaitress2_lastname {Прескотт}
Azzy_name {демон}
Azzy_lastname {Аззи}
QuestMan_Shore_name {Сильвио}
QuestMan_Shore_lastname {Риччи}
Montesuma_name {Монтесума}
AztecCitizen_1_name {Мешитли}
AztecCitizen_2_name {Ауисотль}
Beyns_name {Эндрю}
Beyns_lastname {Бэйнс}
Pitt_name {Джереми}
Pitt_lastname {Питт}
CapGobart_name {капитан}
CapGobart_lastname {Гобарт}
Bridgetown_Mayor_name {Губернатор}
Bridgetown_Mayor_lastname {Стид}
Bishop_name {Полковник}
Bishop_lastname {Бишоп}
Griffin_name {Эд}
Griffin_lastname {Гриффин}
Hells_name {Тобиас}
Hells_lastname {Хелльс}
Quest_Smuggler_name {Тёмная}
Quest_Smuggler_lastname {Личность}
Volverston_name {Недвард}
Volverston_lastname {Волверстон}
Hugtorp_name {Натаниэль}
Hugtorp_lastname {Хагторп}
Dieke_name {Николас}
Dieke_lastname {Дайк}
Ogl_name {Нед}
Ogl_lastname {Огл}
Slave_Quest_name {Сандро}
Slave_Quest_lastname {Торн}
Nettl_name {Джеймс}
Nettl_lastname {Нэтталл}
Spain_spy_name {Серхио}
Spain_spy_lastname {Креспо}
Winterwood_name {Стюарт}
Winterwood_lastname {Уинтервуд}
Fisherman_name {Арнольд}
Fisherman_lastname {Саммерлайт}
Jack_name {Жак}
Jack_lastname {Соловей}
Mainer_name {Джон}
Mainer_lastname {Майнер}
Nabuki_name {Набуки}
Nabuki_lastname {Анаконда}
Jimmy_name {Таманго}
RatCap_name {Франсуа}
RatCap_lastname {Гонтьер}
Slavetrader_name {Свен}
Slavetrader_lastname {Карлсон}
zpqCaptain_name {Маленький}
zpqCaptain_lastname {Джимми}
zpqCaptain_ship {Нормандия}
pSQB_Captain_name {Сиренсио}
pSQB_Captain_lastname {Беграччи}
pSQB_Captain_ship {Бахус}
pSQ_Captain_name {Норман}
pSQ_Captain_lastname {Виго}
pSQ_Captain_ship {Септима}
Houm_name {Ганнибал}
Houm_lastname {Холм}
Houmn_ship {Мёртвая голова}
Houm_helper_name {Андре}
Houm_helper_lastname {Деготь}
Houm_helper_ship {Гнилозуб}
RatSeaOfficer_name {Первый помощник}
RatSeaOfficer_lastname {Барнс}
RatSeaOfficer_ship {Аделаида}
Carlos_name {Карлос}
Carlos_lastname {Кассир}
RatOfficer_name {Матиас}
RatOfficer_lastname {Грин}
Halen_name {Мартин}
Halen_lastname {ван Хален}
Halen_ship {Любовник удачи}
Halen_helper_ship {Оорзак}
Miko_name {Мико}
Miko_lastname {Пистольеро}
Jafar_name {Джа}
Jafar_lastname {Престон}
Jafar_ship {Призрак Тени}
Tichingitu_name {Тичингиту}
John_Coxon_name {Джон}
John_Coxon_lastname {Коксон}
Atlaua_name {Атлауа}
Xiuhtecuhtli_name {Шиутекутли}
Huitzilopochtli_name {Уицилопочтли}
Xolotl_name {Шолотль}
Huahuantli_name {Уауантли}
Ostin_name {Альберто}
Ostin_lastname {Гаодио}
CaptainAttack_1_ship {Эсунатрампа}
CaptainAttack_1_ship2 {Оранжист}
CaptainAttack_1_ship3 {Санта Агуэда}
CaptainAttack_1_ship4 {Ла Рошель}
CaptainAttack_1_ship5 {Дездечадо}
Hoverd_Tantum_name {Говерд}
Hoverd_Tantum_lastname {Тантум}
Morris_Willams_name {Моррис}
Morris_Willams_lastname {Уильямс}
Morris_Willams_ship {Фаворит}
Bocman_Willams_name {Ален}
Bocman_Willams_lastname {Смит}
Jillians_Husband_name {Том}
Jillians_Husband_lastname {Эттербери}
MorrisWillamsSkelet_name {Ламберт}
MorrisWillamsSkelet_lastname {Грофф}
Dick_Manson_name {Дик}
Dick_Manson_lastname {Мэнсон}
Spa_Attack_name {Маноэль Риверо}
Spa_Attack_lastname {Пардаль}
Spa_Attack_ship {Эскадо}
Thomas_Linch_name {Полковник Томас}
Thomas_Linch_lastname {Линч}
Thomas_Modiford_name {Томас}
Thomas_Modiford_lastname {Мэдифорд}
EdwardMansfield_name {Капитан}
EdwardMansfield_lastname {Купер}
Stranger_HL7_name {Гийом}
Stranger_HL7_lastname {Дотей}
LoranDeGraf_name {Лоран}
LoranDeGraf_lastname {де Граф}
LoranDeGraf_ship {Коминте}
Francisco_name {Франциско}
Francisco_lastname {де Сан-Агостиньо}
JansenDeFonceicao_name {Янсен Нунен}
JansenDeFonceicao_lastname {де Фонкесао}
JansenDeFonceicao_ship {Отчаянный}
Panama_houseSp1_Room_name {Яков Лопез}
Panama_houseSp1_Room_lastname {де Фонсека}
RockBrasilian_name {Рок}
RockBrasilian_lastname {Бразилец}
RockBrasilian_ship {Отчаянный}
AnryDEstre_name {Андре}
AnryDEstre_lastname {д'Эстре}
OurCaptain_1_name {Маноэль}
OurCaptain_1_lastname {Риверо Пардаль}
OurCaptain_1_ship {Эскадо}
Pir_Attack_name {Моисей}
Pir_Attack_lastname {Воклейн}
Pir_Attack_ship {Орлеан}
Pir_Attack2_name {капитан}
Pir_Attack2_lastname {Ансель}
Pir_Attack2_ship {Зевс}
IsaAttackCap_ship {Восторженный}
AscoldCaptainAttack_ship {Мортиферо}
AnnaDeLeiva_name {Анна Рамирес}
AnnaDeLeiva_lastname {де Лейва}
FraLineNpc_1_name {Хосе}
FraLineNpc_1_lastname {Рамирес де Лейва}
Huan_name {Хуан}
Galeno_lastname {Галено}
DeLeivaBrother_1_name {Марио}
DeLeivaBrother_1_lastname {Эстебан де Лейва}
DeLeivaBrother_2_name {Роберто}
DeLeivaBrother_2_lastname {Винченцо де Лейва}
MigelDeValdes_name {Мигель}
MigelDeValdes_lastname {де Вальдес}
CrabInside_name {Гигантский краб}
LeifEricson_name {Лейф}
LeifEricson_lastname {Эриксон}
Slave_woman_name {Изаура}
Ratlover_name {Жанна}
Ratlover_lastname {Мольери}
James_Callow_name {Джеймс}
James_Callow_lastname {Кэллоу}
James_Callow_ship {Жадный Билли}
Andreas_Fickler_name {Андреас}
Andreas_Fickler_lastname {Фиклер}
QuetionsPortPax_MuzhPassajir_name {Венсан}
QuetionsPortPax_MuzhPassajir_lastname {Лаббе}
FL_officer_name {Марк}
FL_officer_lastname {Левуа}
GrammonMother_name {Ребекка}
GrammonMother_lastname {де Граммон}
GrammonSister_name {Натали}
GrammonSister_lastname {де Граммон}
GrammonPchar_name {Мишель}
GrammonPchar_lastname {де Граммон}
OfficerMother_name {Ребекка де Граммон}
OfficerMother_lastname {и Марк Левуа}
tmp_soldier0_name {Солдат и}
tmp_soldier0_lastname {Марк Левуа}
DorianFurnier_name {Дориан}
DorianFurnier_lastname {Фурньер}
FL_Mary_name {Мари}
JozephFushe_name {Жосеф}
JozephFushe_lastname {Фуше}
FL_Petit_name {Жан}
FL_Petit_lastname {Петит}
FL_Pablo_name {Пабло}
FL_Pablo_lastname {Жеффрой}
JozephFusheFL3_1_name {Незнакомец}
JozephFusheFL3_1_lastname {и капитан Фуше}
FL_DurantePascual_name {Дюранте}
FL_DurantePascual_lastname {Паскуаль}
FL1_s68_name {Патрульный и}
FL1_s68_lastname {капитан Фуше}
FL_DuranRimber_name {Дюран}
FL_DuranRimber_lastname {Римбер}
FL_granie_name {Жан-Жак}
FL_granie_lastname {Гранье}
FL2_s18_name {Жан-Жак Гранье и}
FL2_s18_lastname {один из бандитов}
FL2_s20_name {Один из бандитов и}
FL2_s20_lastname {Дюран Римбер}
FL_blackTwister_captain_name {Амье}
FL_blackTwister_captain_lastname {Альфанд}
FL_ElizabetBrulua_name {Элизабет}
FL_ElizabetBrulua_lastname {Брюлуа}
diplomat_name {Дипломат}
JohnDavy_name {Белый}
JohnDavy_lastname {Мальчик}
DesMoinesHead_name {Фернандо}
DesMoinesHead_lastname {Торрес}
Hunter_name {Охотник за головами}
Hunter_mapEnc {Охотники за головами}
Andre_Abel_Quest_Pirate_1_name {Кристиан}
Andre_Abel_Quest_Pirate_1_lastname {Копнер}
Andre_Abel_Quest_Pirate_1_ship {Аврора}
Andre_Abel_Quest_Pirate_2_name {Роберт}
Andre_Abel_Quest_Pirate_2_lastname {Недервин}
Andre_Abel_Quest_Pirate_2_ship {Антилопа}
Andre_Abel_Quest_Pirate_3_name {Томас}
Andre_Abel_Quest_Pirate_3_lastname {Чамберс}
Andre_Abel_Quest_Pirate_3_ship {Сьюзан}
Martin_Bleker_name {Мартин}
Martin_Bleker_lastname {Блэкер}
SiegeCap_mapEnc {эскадра военных кораблей}
Gentlemen_mapEnc {Джентльмены удачи}
GhostCapt_name {Ван}
GhostCapt_lastname {дер Декен}
GhostCapt_ship {Летучий голландец}
GhostCapt_mapEnc {Летучий голландец}
SoleiRoyalCaptain_mapEnc {Солей Руаяль}
Sailor_name {Джим}
Sailor_lastname {Хопкинс}
Villemstad_Cemeteryman_name {Антонио}
Villemstad_Cemeteryman_lastname {Бетанкур}
Andre_Abel_name {Андре}
Andre_Abel_lastname {Абель}
Andre_Abel_ship {Орион}
QStranger_name {Алекс}
QStranger_lastname {Уиннер}
Gillian_Atterbury_name {Джиллиан}
Gillian_Atterbury_lastname {Эттербери}
PDM_PK_Francheska_name {Франческа}
PDM_PK_Francheska_lastname {Тонто}
Josephine_Lodet_name {Жозефина}
Josephine_Lodet_lastname {Лодет}
Albermal_name {герцог}
Albermal_lastname {Альбермаль}
Edward_Mansfield2_name {Алистер}
Edward_Mansfield2_lastname {Гуд}
Legran_name {Пьер}
Legran_lastname {Легран}
Olone_name {Франсуа}
Olone_lastname {Олоне}
Olone_ship {Кровавый демон}
Bonrepo_name {Маркиз}
Bonrepo_lastname {Бонрепо}
Chumakeiro_name {Аарон Мендес}
Chumakeiro_lastname {Чумакейро}
ServantDEstre_name {Гвидо}
AntonioDeSouza_name {Антониу}
AntonioDeSouza_lastname {де Соуза}
JohnLids_name {Джон}
JohnLids_lastname {Лидс}
JohnLids_ship {Антверпен}
AttackSantiago_name {Грегорио Флоридо}
AttackSantiago_lastname {де Бальбоа}
Himenes_name {Хосе Санчо}
Himenes_lastname {Хименес}
InesDeLasCierras_name {Инес}
InesDeLasCierras_lastname {де Лас Сьеррас}
AntonioDeBarras_name {Антонио}
AntonioDeBarras_lastname {де Баррас}
AntonioDeBarras_ship {Изабелла}
CaptainGay_name {Капитан}
CaptainGay_lastname {Гей}
LizSheppard_name {Элизабет}
LizSheppard_lastname {Шеппард}
DanielleOff_name {Даниэль}
DanielleOff_lastname {Шеппард}
DanielleOff_ship {Королева}
Danielle_mapEnc {Фрегат 'Королева'}
Alan_MacLine_name {Алан}
Alan_MacLine_lastname {Маклейн}
EdwardLoy_name {Эдвард}
EdwardLoy_lastname {Лоу}
EdwardLoy_mapEnc {Морской волк}
GrunMaurits_name {Мауритс}
GrunMaurits_lastname {Грун}
GrunMaurits_ship {Луиза}
KoriBoll_name {Кори}
KoriBoll_lastname {Болл}
KoriBoll_ship {Колосс}
QuestPirate2_name {Джон}
QuestPirate2_lastname {Болтон}
Blad_ship {Арабелла}
Blad2_ship {Синко Льягас}
LSC_ship {Пёс войны}
Providencia_PortMan_ship {Севилия}
MisStid_name {Миссис}
MisStid_lastname {Стид}
Waker_name {доктор}
Waker_lastname {Вакер}
Den_name {мистер}
Den_lastname {Дэн}
Weston_name {Чарльз}
Weston_lastname {Вестон}
Spain_spy2_lastname {Испанец}
Pablo_Loco_Idol_name {Виннету}
Rosita_name {Росита}
Rosita_lastname {Фернандес}
PDM_Pinki_Skelet_name {Пинкамина}
PDM_Pinki_Skelet_lastname {Пай}
PDM_Pinki_Skelet2_name {Дэйв}
PDM_Pinki_Skelet2_lastname {Пироужн}
PDM_NK_Viktor_name {Витор}
PDM_NK_Viktor_lastname {Бретье}
FernandoGonsales_name {Фернандо}
FernandoGonsales_lastname {Гонсалес}
Monkey_name {Обезьяна}
DeathMonkey_name {Нежить-обезьяна}
Eddy_Black_name {Эдди}
Eddy_Black_lastname {Блэк}
Tizer_name {Тизер}
Tizer_lastname {Ден}
Kirk_name {полковник}
Kirk_lastname {Кирк}
Slave_name {Винарик}
SecretFortCommander_name {Юстино}
SecretFortCommander_lastname {де Коэлью}
SecretFortGuard_name {Анджело}
