Bridgetown_Hostess_name {Angela}
Aivory_name {John}
Aivory_lastname {Avery}
Orry_name {Orri}
Orry_lastname {Bruce}
LeonCapitain_ship {Leon}
LeonCapitain_mapEnc {Fragata "Leon"}
QuestCap_PL7_ship {Escurridizo}
QuestCap_PL7_mapEnc {Acorazado}
JohnMorris_name {John}
JohnMorris_lastname {Morris}
JohnMorris_ship {Laguna}
MushketCap_name {Albert}
MushketCap_lastname {Zivert}
MushketCap_ship {Flecha}
MushketCap_mapEnc {Bergantín "Arrow"}
GiveKeyMan_name {Colina}
GiveKeyMan_lastname {Esquina}
LSCMayor_name {Chad}
LSCMayor_lastname {Corsario}
Ment_1_name {Jean}
Ment_1_lastname {Burdy}
Ment_2_name {Levis}
Ment_2_lastname {Grommer}
Ment_3_name {Fragata}
Ment_3_lastname {Arenque}
Ment_4_name {Raul}
Ment_4_lastname {Cruz}
Ment_5_name {Gerard}
Ment_5_lastname {Proa}
Ment_6_name {John}
Ment_6_lastname {Workman}
LSCBarmen_name {Colina}
LSCBarmen_lastname {Brunner}
LSCwaitress_name {Armo}
LSCwaitress_lastname {Dyulin}
PedroHurtado_name {Pedro}
PedroHurtado_lastname {Hurtado}
ZhilBaru_name {Gilles}
ZhilBaru_lastname {Baru}
TristanBorcher_name {Tristan}
TristanBorcher_lastname {Borcher}
RoyelHaag_name {Royal}
RoyelHaag_lastname {La Haya}
DominicLegro_name {Dominic}
DominicLegro_lastname {Legros}
JorgeStouks_name {George}
JorgeStouks_lastname {Stokes}
HenryFolder_name {Henry}
HenryFolder_lastname {Carpeta}
FelixMendoza_name {Felix}
FelixMendoza_lastname {Mendoza}
RodgerWoyler_name {Roger}
RodgerWoyler_lastname {Vowler}
AndreLabor_name {André}
AndreLabor_lastname {Babor}
StefanKleyn_name {Stefan}
StefanKleyn_lastname {Klein}
ThomasFlann_name {Thomas}
ThomasFlann_lastname {Flann}
PabloBarades_name {Pablo}
PabloBarades_lastname {Barades}
LSC_Priest_name {padre}
LSC_Priest_lastname {Ángel}
SandraGomes_name {Sandra}
SandraGomes_lastname {Gómez}
MonikaRight_name {Monica}
MonikaRight_lastname {Wright}
LSC_Trader_name {Eric}
LSC_Trader_lastname {Joost}
LSC_PrisonerHead_name {Gabriel}
LSC_PrisonerHead_lastname {d’Exmes}
LSC_Prisoner1_name {Thomas}
LSC_Prisoner1_lastname {Boyle}
LSC_Usurer_name {Augusto}
LSC_Usurer_lastname {Bramante}
Mechanic_name {Henrik}
Mechanic_lastname {Wedeker}
ElisTaylor_name {Alice}
ElisTaylor_lastname {Taylor}
OreliBertin_name {Oréli}
OreliBertin_lastname {Bertin}
LeaToors_name {Lea}
LeaToors_lastname {Toors}
ElizaCalvo_name {Eliza}
ElizaCalvo_lastname {Calvo}
SesilGalard_name {Cécile}
SesilGalard_lastname {Galliard}
MalcolmFawn_name {Malcolm}
MalcolmFawn_lastname {Fawn}
Narval_head_name {Thomas}
Narval_head_lastname {Greenspy}
Narval_1_name {Fritz}
Narval_1_lastname {Holt}
Narval_2_name {Roger}
Narval_2_lastname {Adin}
Narval_3_name {Nick}
Narval_3_lastname {Nolty}
Narval_4_name {Come}
Narval_4_lastname {Grazid}
Narval_5_name {Milon}
Narval_5_lastname {Berji}
Casper_head_name {Kasper}
Casper_head_lastname {Longman}
Casper_1_name {Denis}
Casper_1_lastname {Hopfer}
Casper_2_name {Faucher}
Casper_2_lastname {Hecht}
Casper_3_name {Serge}
Casper_3_lastname {Chambon}
Casper_4_name {Felipe}
Casper_4_lastname {Armas}
Casper_6_name {Juan}
Casper_6_lastname {Kobo}
Casper_7_name {Tagel}
Casper_7_lastname {Edo}
Casper_8_name {Zenon}
Casper_8_lastname {Barrio}
Casper_9_name {Miguel}
Casper_9_lastname {Batis}
Casper_10_name {Martin}
Casper_10_lastname {Camus}
Casper_11_name {Marca}
Casper_11_lastname {Obispo}
LSCBarmen2_name {Florence}
LSCBarmen2_lastname {Ranura}
LSCwaitress2_name {Flora}
LSCwaitress2_lastname {Prescott}
Azzy_name {demonio}
Azzy_lastname {Azzi}
QuestMan_Shore_name {Silvio}
QuestMan_Shore_lastname {Ricci}
Montesuma_name {Montezuma}
AztecCitizen_1_name {Meshitli}
AztecCitizen_2_name {Ahuitzotl}
Beyns_name {Andrew}
Beyns_lastname {Baines}
Pitt_name {Jeremy}
Pitt_lastname {Pitt}
CapGobart_name {Capitán}
CapGobart_lastname {Hobart}
Bridgetown_Mayor_name {Gobernador}
Bridgetown_Mayor_lastname {Stede}
Bishop_name {Coronel}
Bishop_lastname {Obispo}
Griffin_name {Ed}
Griffin_lastname {Griffin}
Hells_name {Tobias}
Hells_lastname {Hells}
Quest_Smuggler_name {Oscura}
Quest_Smuggler_lastname {Identidad}
Volverston_name {Nedward}
Volverston_lastname {Wolverstone}
Hugtorp_name {Nathaniel}
Hugtorp_lastname {Hagthorp}
Dieke_name {Nicholas}
Dieke_lastname {Dique}
Ogl_name {Ned}
Ogl_lastname {Mirar furtivamente}
Slave_Quest_name {Sandro}
Slave_Quest_lastname {Thorne}
Nettl_name {James}
Nettl_lastname {Nettall}
Spain_spy_name {Sergio}
Spain_spy_lastname {Crespo}
Winterwood_name {Stuart}
Winterwood_lastname {Winterwood}
Fisherman_name {Arnold}
Fisherman_lastname {Summerlight}
Jack_name {Jacques}
Jack_lastname {Ruiseñor}
Mainer_name {John}
Mainer_lastname {Minero}
Nabuki_name {Nabuki}
Nabuki_lastname {Anaconda}
Jimmy_name {Tamango}
RatCap_name {François}
RatCap_lastname {Gonthier}
Slavetrader_name {Sven}
Slavetrader_lastname {Karlson}
zpqCaptain_name {Pequeño}
zpqCaptain_lastname {Jimmy}
zpqCaptain_ship {Normandía}
pSQB_Captain_name {Sirencio}
pSQB_Captain_lastname {Begracci}
pSQB_Captain_ship {Baco}
pSQ_Captain_name {Norman}
pSQ_Captain_lastname {Vigo}
pSQ_Captain_ship {Septima}
Houm_name {Hannibal}
Houm_lastname {Colina}
Houmn_ship {Cabeza de muerto}
Houm_helper_name {Andre}
Houm_helper_lastname {Alquitrán}
Houm_helper_ship {Dientepodrido}
RatSeaOfficer_name {Primer oficial}
RatSeaOfficer_lastname {Barnes}
RatSeaOfficer_ship {Adelaide}
Carlos_name {Carlos}
Carlos_lastname {Cajero}
RatOfficer_name {Matias}
RatOfficer_lastname {Verde}
Halen_name {Martin}
Halen_lastname {van Halen}
Halen_ship {Amante de la Fortuna}
Halen_helper_ship {Oorzac}
Miko_name {Miko}
Miko_lastname {Pistolero}
Jafar_name {Ja}
Jafar_lastname {Preston}
Jafar_ship {El Fantasma de la Sombra}
Tichingitu_name {Tichingitu}
John_Coxon_name {John}
John_Coxon_lastname {Coxswain}
Atlaua_name {Atlaua}
Xiuhtecuhtli_name {Xiuhtecuhtli}
Huitzilopochtli_name {Huitzilopochtli}
Xolotl_name {Xolotl}
Huahuantli_name {Huauantli}
Ostin_name {Alberto}
Ostin_lastname {Gaodio}
CaptainAttack_1_ship {Esunatrampa}
CaptainAttack_1_ship2 {Orangista}
CaptainAttack_1_ship3 {Santa Agueda}
CaptainAttack_1_ship4 {La Rochelle}
CaptainAttack_1_ship5 {Desdechado}
Hoverd_Tantum_name {Goverd}
Hoverd_Tantum_lastname {Tantum}
Morris_Willams_name {Morris}
Morris_Willams_lastname {Williams}
Morris_Willams_ship {Favorito}
Bocman_Willams_name {Alain}
Bocman_Willams_lastname {Smith}
Jillians_Husband_name {Tom}
Jillians_Husband_lastname {Etterberry}
MorrisWillamsSkelet_name {Lambert}
MorrisWillamsSkelet_lastname {Groff}
Dick_Manson_name {Dick}
Dick_Manson_lastname {Manson}
Spa_Attack_name {Manoel Rivero}
Spa_Attack_lastname {Pardal}
Spa_Attack_ship {Escado}
Thomas_Linch_name {Coronel Thomas}
Thomas_Linch_lastname {Lynch}
Thomas_Modiford_name {Thomas}
Thomas_Modiford_lastname {Mediford}
EdwardMansfield_name {Capitán}
EdwardMansfield_lastname {Cooper}
Stranger_HL7_name {Guillaume}
Stranger_HL7_lastname {Doughty}
LoranDeGraf_name {Laurent}
LoranDeGraf_lastname {de Graaf}
LoranDeGraf_ship {Cominte}
Francisco_name {Francisco}
Francisco_lastname {de San Agostinho}
JansenDeFonceicao_name {Jansen Nunen}
JansenDeFonceicao_lastname {de Fonquesao}
JansenDeFonceicao_ship {Desesperado}
Panama_houseSp1_Room_name {Yakov Lopez}
Panama_houseSp1_Room_lastname {de Fonseca}
RockBrasilian_name {Destino}
RockBrasilian_lastname {El brasileño}
RockBrasilian_ship {Desesperado}
AnryDEstre_name {Andre}
AnryDEstre_lastname {d'Estrées}
OurCaptain_1_name {Manoel}
OurCaptain_1_lastname {Rivero Pardal}
OurCaptain_1_ship {Escuadrón}
Pir_Attack_name {Moisés}
Pir_Attack_lastname {Vauclin}
Pir_Attack_ship {Orleans}
Pir_Attack2_name {Capitán}
Pir_Attack2_lastname {Ansel}
Pir_Attack2_ship {Zeus}
IsaAttackCap_ship {Entusiasta}
AscoldCaptainAttack_ship {Mortífero}
AnnaDeLeiva_name {Anna Ramirez}
AnnaDeLeiva_lastname {de Leyva}
FraLineNpc_1_name {Jose}
FraLineNpc_1_lastname {Ramirez de Leyva}
Huan_name {Juan}
Galeno_lastname {Galeón}
DeLeivaBrother_1_name {Mario}
DeLeivaBrother_1_lastname {Esteban de Leyva}
DeLeivaBrother_2_name {Roberto}
DeLeivaBrother_2_lastname {Vincenzo de Leyva}
MigelDeValdes_name {Miguel}
MigelDeValdes_lastname {de Valdes}
CrabInside_name {Cangrejo gigante}
LeifEricson_name {Leif}
LeifEricson_lastname {Erikson}
Slave_woman_name {Isaura}
Ratlover_name {Jeanne}
Ratlover_lastname {Molière}
James_Callow_name {James}
James_Callow_lastname {Callow}
James_Callow_ship {Billy el Codicioso}
Andreas_Fickler_name {Andreas}
Andreas_Fickler_lastname {Fickler}
QuetionsPortPax_MuzhPassajir_name {Vensan}
QuetionsPortPax_MuzhPassajir_lastname {Labbe}
FL_officer_name {Mark}
FL_officer_lastname {Levois}
GrammonMother_name {Rebecca}
GrammonMother_lastname {de Grammon}
GrammonSister_name {Natalie}
GrammonSister_lastname {de Grammon}
GrammonPchar_name {Michel}
GrammonPchar_lastname {de Grammont}
OfficerMother_name {Rebecca de Grammon}
OfficerMother_lastname {y Marc Levois}
tmp_soldier0_name {Soldado y}
tmp_soldier0_lastname {Marc Lavoie}
DorianFurnier_name {Dorian}
DorianFurnier_lastname {Fournier}
FL_Mary_name {Marie}
JozephFushe_name {Joseph}
JozephFushe_lastname {Fouché}
FL_Petit_name {Jean}
FL_Petit_lastname {Petit}
FL_Pablo_name {Pablo}
FL_Pablo_lastname {Geoffroy}
JozephFusheFL3_1_name {Desconocido}
JozephFusheFL3_1_lastname {y el capitán Fouché}
FL_DurantePascual_name {Durante}
FL_DurantePascual_lastname {Pascual}
FL1_s68_name {Patrullero y}
FL1_s68_lastname {Capitán Fouché}
FL_DuranRimber_name {Duran}
FL_DuranRimber_lastname {Rimber}
FL_granie_name {Jean-Jacques}
FL_granie_lastname {Granié}
FL2_s18_name {Jean-Jacques Granier y}
FL2_s18_lastname {uno de los bandidos}
FL2_s20_name {Uno de los bandidos y}
FL2_s20_lastname {Duran Rimbert}
FL_blackTwister_captain_name {Amye}
FL_blackTwister_captain_lastname {Alfand}
FL_ElizabetBrulua_name {Elizabeth}
FL_ElizabetBrulua_lastname {Brulot}
diplomat_name {Diplomático}
JohnDavy_name {Blanco}
JohnDavy_lastname {Niño}
DesMoinesHead_name {Fernando}
DesMoinesHead_lastname {Torres}
Hunter_name {Cazarrecompensas}
Hunter_mapEnc {Cazarrecompensas}
Andre_Abel_Quest_Pirate_1_name {Christian}
Andre_Abel_Quest_Pirate_1_lastname {Kopner}
Andre_Abel_Quest_Pirate_1_ship {Aurora}
Andre_Abel_Quest_Pirate_2_name {Robert}
Andre_Abel_Quest_Pirate_2_lastname {Nedervin}
Andre_Abel_Quest_Pirate_2_ship {Antelope}
Andre_Abel_Quest_Pirate_3_name {Thomas}
Andre_Abel_Quest_Pirate_3_lastname {Chambers}
Andre_Abel_Quest_Pirate_3_ship {Susan}
Martin_Bleker_name {Martin}
Martin_Bleker_lastname {Blacker}
SiegeCap_mapEnc {una escuadra de buques de guerra}
Gentlemen_mapEnc {Caballeros de fortuna}
GhostCapt_name {Van}
GhostCapt_lastname {der Decken}
GhostCapt_ship {El Holandés Errante}
GhostCapt_mapEnc {El Holandés Errante}
SoleiRoyalCaptain_mapEnc {Soleil Royal}
Sailor_name {Jim}
Sailor_lastname {Hopkins}
Villemstad_Cemeteryman_name {Antonio}
Villemstad_Cemeteryman_lastname {Betancur}
Andre_Abel_name {Andre}
Andre_Abel_lastname {Abel}
Andre_Abel_ship {Orion}
QStranger_name {Alex}
QStranger_lastname {Ganador}
Gillian_Atterbury_name {Jillian}
Gillian_Atterbury_lastname {Etterberry}
PDM_PK_Francheska_name {Francesca}
PDM_PK_Francheska_lastname {Tonto}
Josephine_Lodet_name {Josephine}
Josephine_Lodet_lastname {Lodet}
Albermal_name {duque}
Albermal_lastname {Albemarle}
Edward_Mansfield2_name {Alistair}
Edward_Mansfield2_lastname {Bien}
Legran_name {Pierre}
Legran_lastname {Legrand}
Olone_name {François}
Olone_lastname {Olonne}
Olone_ship {Demonio Sangriento}
Bonrepo_name {Marqués}
Bonrepo_lastname {Bonrepos}
Chumakeiro_name {Aaron Mendes}
Chumakeiro_lastname {Chumacero}
ServantDEstre_name {Guido}
AntonioDeSouza_name {Antoniu}
AntonioDeSouza_lastname {de Souza}
JohnLids_name {John}
JohnLids_lastname {Leeds}
JohnLids_ship {Amberes}
AttackSantiago_name {Gregorio Florido}
AttackSantiago_lastname {de Balboa}
Himenes_name {Jose Sancho}
Himenes_lastname {Jimenez}
InesDeLasCierras_name {Ines}
InesDeLasCierras_lastname {de Las Sierras}
AntonioDeBarras_name {Antonio}
AntonioDeBarras_lastname {de Barras}
AntonioDeBarras_ship {Isabella}
CaptainGay_name {Capitán}
CaptainGay_lastname {Hola}
LizSheppard_name {Elizabeth}
LizSheppard_lastname {Sheppard}
DanielleOff_name {Daniel}
DanielleOff_lastname {Sheppard}
DanielleOff_ship {Reina}
Danielle_mapEnc {Fragata "Queen"}
Alan_MacLine_name {Alan}
Alan_MacLine_lastname {MacLaine}
EdwardLoy_name {Edward}
EdwardLoy_lastname {Lowe}
EdwardLoy_mapEnc {Lobo de mar}
GrunMaurits_name {Maurits}
GrunMaurits_lastname {Banco}
GrunMaurits_ship {Louisa}
KoriBoll_name {Cory}
KoriBoll_lastname {Bola}
KoriBoll_ship {Coloso}
QuestPirate2_name {John}
QuestPirate2_lastname {Bolton}
Blad_ship {Arabella}
Blad2_ship {Cinco Llagas}
LSC_ship {Sabueso de guerra}
Providencia_PortMan_ship {Sevilla}
MisStid_name {Sra.}
MisStid_lastname {Stede}
Waker_name {Médico}
Waker_lastname {Waker}
Den_name {señor}
Den_lastname {Dan}
Weston_name {Charles}
Weston_lastname {Weston}
Spain_spy2_lastname {Español}
Pablo_Loco_Idol_name {Winnetou}
Rosita_name {Rosita}
Rosita_lastname {Fernandez}
PDM_Pinki_Skelet_name {Pinkamina}
PDM_Pinki_Skelet_lastname {Ración}
PDM_Pinki_Skelet2_name {Dave}
PDM_Pinki_Skelet2_lastname {Pyrogin}
PDM_NK_Viktor_name {Vitor}
PDM_NK_Viktor_lastname {El afeitado}
FernandoGonsales_name {Fernando}
FernandoGonsales_lastname {Gonzales}
Monkey_name {Mono}
DeathMonkey_name {Mono no-muerto}
Eddy_Black_name {Eddy}
Eddy_Black_lastname {Negro}
Tizer_name {Tráiler}
Tizer_lastname {Den}
Kirk_name {coronel}
Kirk_lastname {Kirk}
Slave_name {Winarick}
SecretFortCommander_name {Justino}
SecretFortCommander_lastname {de Coelho}
SecretFortGuard_name {Ángelo}
